interval_label,original_category,chunk_category,weighted_row_share
10+,Intergovernmental & Constitutional Affairs,Intergovernmental & Constitutional Affairs,0.4974605751391466
10+,Intergovernmental & Constitutional Affairs,"Justice, Rights & Immigration",0.04913182056039199
10+,Intergovernmental & Constitutional Affairs,Parliamentary Affairs,0.09347349079491937
10+,Intergovernmental & Constitutional Affairs,Social Policy,0.06951723871366729
10+,Intergovernmental & Constitutional Affairs,Trade & Industry,0.029822707054849913
10+,"Justice, Rights & Immigration",Agriculture & Natural Resources,0.011321619556913675
10+,"Justice, Rights & Immigration",Economic & Fiscal Policy,0.01448904037139331
10+,"Justice, Rights & Immigration",Foreign Affairs & Defence,0.010463653993065758
10+,"Justice, Rights & Immigration",Government Operations & Ethics,0.03338485044367397
10+,"Justice, Rights & Immigration",Indigenous & Northern Affairs,0.004432332373508844
10+,"Justice, Rights & Immigration",Intergovernmental & Constitutional Affairs,0.008864272981920041
10+,"Justice, Rights & Immigration","Justice, Rights & Immigration",0.7980340247987306
10+,"Justice, Rights & Immigration",Parliamentary Affairs,0.04725460813696108
10+,"Justice, Rights & Immigration",Social Policy,0.04907161465984995
10+,"Justice, Rights & Immigration",Trade & Industry,0.022683982683982685
10+,Parliamentary Affairs,Agriculture & Natural Resources,0.01657239819004525
10+,Parliamentary Affairs,Economic & Fiscal Policy,0.023835110967463907
10+,Parliamentary Affairs,Foreign Affairs & Defence,0.012810228986699576
10+,Parliamentary Affairs,Government Operations & Ethics,0.0838820493232258
10+,Parliamentary Affairs,Indigenous & Northern Affairs,0.0
10+,Parliamentary Affairs,Intergovernmental & Constitutional Affairs,0.0902096677831972
10+,Parliamentary Affairs,"Justice, Rights & Immigration",0.03299029401970579
10+,Parliamentary Affairs,Parliamentary Affairs,0.6696558343617167
10+,Parliamentary Affairs,Social Policy,0.03684354860825449
10+,Parliamentary Affairs,Trade & Industry,0.033200867759691284
10+,Social Policy,Agriculture & Natural Resources,0.009716390380452881
10+,Social Policy,Economic & Fiscal Policy,0.08339115311771562
10+,Social Policy,Foreign Affairs & Defence,0.009342350357975359
10+,Social Policy,Government Operations & Ethics,0.02214920496170496
10+,Social Policy,Indigenous & Northern Affairs,0.010228443431568432
10+,Social Policy,Intergovernmental & Constitutional Affairs,0.02864752435064935
10+,Social Policy,"Justice, Rights & Immigration",0.024479947136197135
10+,Social Policy,Parliamentary Affairs,0.02665810751748252
10+,Social Policy,Social Policy,0.7503246753246753
10+,Social Policy,Trade & Industry,0.035062203421578425
10+,Trade & Industry,Agriculture & Natural Resources,0.06052557198898663
10+,Trade & Industry,Economic & Fiscal Policy,0.09207507939215256
10+,Trade & Industry,Foreign Affairs & Defence,0.010813982765202278
10+,Trade & Industry,Government Operations & Ethics,0.06457006408225921
10+,Trade & Industry,Indigenous & Northern Affairs,0.0020808459832850077
10+,Trade & Industry,Intergovernmental & Constitutional Affairs,0.019846332529259356
10+,Trade & Industry,"Justice, Rights & Immigration",0.008465274562835539
10+,Trade & Industry,Parliamentary Affairs,0.0370863283058405
10+,Trade & Industry,Social Policy,0.032992860797738846
10+,Trade & Industry,Trade & Industry,0.6715436595924401
