basepk,chunk_total,original_category,original_cluster,category_entropy_raw,category_entropy_adjusted,cluster_entropy_raw,cluster_entropy_adjusted,category_retention,cluster_retention,category_distinct_count,cluster_distinct_count,category_dominant_share,cluster_dominant_share
3405860,2,Agriculture & Natural Resources,5,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
3406072,2,Economic & Fiscal Policy,7,0.6931471805599453,1.0,0.0,0.0,0.5,1.0,2,1,0.5,1.0
3406170,2,Agriculture & Natural Resources,17,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
3406266,2,Government Operations & Ethics,4,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
3406369,2,Government Operations & Ethics,10,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1.0,1.0
3406415,2,Parliamentary Affairs,4,0.6931471805599453,1.0,0.0,0.0,0.5,1.0,2,1,0.5,1.0
3406731,2,Agriculture & Natural Resources,16,0.6931471805599453,1.0,0.0,0.0,0.5,0.0,2,1,0.5,1.0
3406770,2,Government Operations & Ethics,9,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
3406808,2,Social Policy,16,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
3406830,2,Economic & Fiscal Policy,16,0.6931471805599453,1.0,0.6931471805599453,1.0,0.0,0.5,2,2,0.5,0.5
3406879,2,Parliamentary Affairs,12,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
3407027,2,Government Operations & Ethics,4,0.6931471805599453,1.0,0.0,0.0,0.5,1.0,2,1,0.5,1.0
3407067,2,Government Operations & Ethics,11,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1.0,1.0
3407133,2,Government Operations & Ethics,14,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
3407290,2,Government Operations & Ethics,9,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
3407548,2,Economic & Fiscal Policy,16,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
3407644,2,Foreign Affairs & Defence,4,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
3407705,2,Agriculture & Natural Resources,4,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
3407737,2,Government Operations & Ethics,9,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
3407795,2,Parliamentary Affairs,12,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
3407811,2,Government Operations & Ethics,9,0.6931471805599453,1.0,0.6931471805599453,1.0,0.5,0.5,2,2,0.5,0.5
3408027,2,Economic & Fiscal Policy,16,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
3408318,2,Trade & Industry,0,0.6931471805599453,1.0,0.6931471805599453,1.0,0.0,0.5,2,2,0.5,0.5
3408330,2,Parliamentary Affairs,16,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0
3408359,2,Trade & Industry,4,0.6931471805599453,1.0,0.0,0.0,0.5,1.0,2,1,0.5,1.0
3408423,2,Trade & Industry,4,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1.0,1.0
3408585,2,Foreign Affairs & Defence,4,0.6931471805599453,1.0,0.0,0.0,0.0,1.0,2,1,0.5,1.0
