basepk,rows_found,chunk_total_min,chunk_total_max,total_chunk_weight,chunk_total_consistent,all_chunks_present
2246238,2,2,2,1.0,True,True
2246537,4,4,4,1.0,True,True
2246589,3,3,3,1.0,True,True
2246624,2,2,2,1.0,True,True
2246637,2,2,2,1.0,True,True
2246849,3,3,3,1.0,True,True
2246859,7,7,7,1.0,True,True
2246861,3,3,3,1.0,True,True
2246881,14,14,14,1.0,True,True
2246930,12,12,12,1.0,True,True
2246931,5,5,5,1.0,True,True
2247207,2,2,2,1.0,True,True
2247208,3,3,3,1.0,True,True
2247274,3,3,3,1.0,True,True
2247489,3,3,3,1.0,True,True
2247499,3,3,3,1.0,True,True
2247505,2,2,2,1.0,True,True
2247519,2,2,2,1.0,True,True
2247534,3,3,3,1.0,True,True
2247545,3,3,3,1.0,True,True
2247555,10,10,10,1.0,True,True
2247583,3,3,3,1.0,True,True
2247952,5,5,5,1.0,True,True
2247961,2,2,2,1.0,True,True
2248222,3,3,3,1.0,True,True
2248265,2,2,2,1.0,True,True
2248373,2,2,2,1.0,True,True
2248955,2,2,2,1.0,True,True
2249041,2,2,2,1.0,True,True
2249084,4,4,4,1.0,True,True
2249180,11,11,11,1.0,True,True
2249516,10,10,10,1.0,True,True
2249590,3,3,3,1.0,True,True
2249824,2,2,2,1.0,True,True
2249855,2,2,2,1.0,True,True
2250121,7,7,7,1.0,True,True
2250154,2,2,2,1.0,True,True
2250237,2,2,2,1.0,True,True
2250513,9,9,9,1.0,True,True
2250521,7,7,7,1.0,True,True
2250532,5,5,5,1.0,True,True
2250556,9,9,9,1.0,True,True
2251313,2,2,2,1.0,True,True
2251500,2,2,2,1.0,True,True
2251576,10,10,10,1.0,True,True
2251626,2,2,2,1.0,True,True
2251865,2,2,2,1.0,True,True
2251932,2,2,2,1.0,True,True
2251965,4,4,4,1.0,True,True
2251969,4,4,4,1.0,True,True
2252024,2,2,2,1.0,True,True
2252051,5,5,5,1.0,True,True
2252064,4,4,4,1.0,True,True
2252098,5,5,5,1.0,True,True
2252107,8,8,8,1.0,True,True
2252337,11,11,11,1.0,True,True
2252406,2,2,2,1.0,True,True
2252459,2,2,2,1.0,True,True
2252807,2,2,2,1.0,True,True
2252875,7,7,7,1.0,True,True
2252909,2,2,2,1.0,True,True
2253328,3,3,3,1.0,True,True
2253350,5,5,5,1.0,True,True
2253370,3,3,3,1.0,True,True
2253382,2,2,2,1.0,True,True
2253406,4,4,4,1.0,True,True
2253430,5,5,5,1.0,True,True
2253470,4,4,4,1.0,True,True
2253567,3,3,3,1.0,True,True
2253616,2,2,2,1.0,True,True
2253627,2,2,2,1.0,True,True
2253698,2,2,2,1.0,True,True
2253720,2,2,2,1.0,True,True
2253819,2,2,2,1.0,True,True
2254074,2,2,2,1.0,True,True
2254139,3,3,3,1.0,True,True
2254149,4,4,4,1.0,True,True
2254212,3,3,3,1.0,True,True
2254441,6,6,6,1.0,True,True
2254505,2,2,2,1.0,True,True
2254524,8,8,8,1.0,True,True
2254600,3,3,3,1.0,True,True
2254604,2,2,2,1.0,True,True
2254662,3,3,3,1.0,True,True
2254703,6,6,6,1.0,True,True
2254748,2,2,2,1.0,True,True
2254781,2,2,2,1.0,True,True
2254811,2,2,2,1.0,True,True
2254819,3,3,3,1.0,True,True
2254822,3,3,3,1.0,True,True
2254840,3,3,3,1.0,True,True
2254862,2,2,2,1.0,True,True
2254870,3,3,3,1.0,True,True
2255236,4,4,4,1.0,True,True
2255263,3,3,3,1.0,True,True
2255353,2,2,2,1.0,True,True
2255371,2,2,2,1.0,True,True
2255541,2,2,2,1.0,True,True
2255556,2,2,2,1.0,True,True
2255566,3,3,3,1.0,True,True
2255577,3,3,3,1.0,True,True
2255601,3,3,3,1.0,True,True
2255767,2,2,2,1.0,True,True
2255780,2,2,2,1.0,True,True
2255786,2,2,2,1.0,True,True
2255792,2,2,2,1.0,True,True
2255798,2,2,2,1.0,True,True
2255925,2,2,2,1.0,True,True
2255983,9,9,9,1.0,True,True
2256010,5,5,5,1.0,True,True
2256067,2,2,2,1.0,True,True
2256266,2,2,2,1.0,True,True
2256315,3,3,3,1.0,True,True
2257111,4,4,4,1.0,True,True
2257168,3,3,3,1.0,True,True
2257469,2,2,2,1.0,True,True
2257722,5,5,5,1.0,True,True
2257730,6,6,6,1.0,True,True
2257737,2,2,2,1.0,True,True
2257928,2,2,2,1.0,True,True
2258098,5,5,5,1.0,True,True
2258144,2,2,2,1.0,True,True
2258146,6,6,6,1.0,True,True
2258369,4,4,4,1.0,True,True
2258397,2,2,2,1.0,True,True
2258402,10,10,10,1.0,True,True
2258733,14,14,14,1.0,True,True
2258735,2,2,2,1.0,True,True
2258809,2,2,2,1.0,True,True
2258857,2,2,2,1.0,True,True
2258891,2,2,2,1.0,True,True
2259009,10,10,10,1.0,True,True
2259013,8,8,8,1.0,True,True
2259021,8,8,8,1.0,True,True
2259046,2,2,2,1.0,True,True
2259099,3,3,3,1.0,True,True
2259326,7,7,7,1.0,True,True
2259340,8,8,8,1.0,True,True
2259437,2,2,2,1.0,True,True
2259653,2,2,2,1.0,True,True
2259681,5,5,5,1.0,True,True
2259844,2,2,2,1.0,True,True
2259901,2,2,2,1.0,True,True
2259925,2,2,2,1.0,True,True
2260067,2,2,2,1.0,True,True
2260280,2,2,2,1.0,True,True
2260469,2,2,2,1.0,True,True
2260630,2,2,2,1.0,True,True
2260758,3,3,3,1.0,True,True
2260769,6,6,6,1.0,True,True
2261127,3,3,3,1.0,True,True
2261142,2,2,2,1.0,True,True
2261177,10,10,10,1.0,True,True
2261183,2,2,2,1.0,True,True
2261201,6,6,6,1.0,True,True
2261242,2,2,2,1.0,True,True
2261255,6,6,6,1.0,True,True
2261261,3,3,3,1.0,True,True
2261285,4,4,4,1.0,True,True
2261582,2,2,2,1.0,True,True
2261631,4,4,4,1.0,True,True
2261633,3,3,3,1.0,True,True
2261652,2,2,2,1.0,True,True
2262077,4,4,4,1.0,True,True
2262131,6,6,6,1.0,True,True
2262167,2,2,2,1.0,True,True
2262225,2,2,2,1.0,True,True
2262231,2,2,2,1.0,True,True
2262836,2,2,2,1.0,True,True
2262888,13,13,13,1.0,True,True
2262889,4,4,4,1.0,True,True
2262948,3,3,3,1.0,True,True
2263225,6,6,6,1.0,True,True
2263279,2,2,2,1.0,True,True
2263353,6,6,6,1.0,True,True
2263360,3,3,3,1.0,True,True
2263428,3,3,3,1.0,True,True
2263644,2,2,2,1.0,True,True
2263826,4,4,4,1.0,True,True
2264692,4,4,4,1.0,True,True
2264722,3,3,3,1.0,True,True
2264909,3,3,3,1.0,True,True
2264926,2,2,2,1.0,True,True
2265008,2,2,2,1.0,True,True
2265039,3,3,3,1.0,True,True
2265372,3,3,3,1.0,True,True
2265615,8,8,8,1.0,True,True
2265636,3,3,3,1.0,True,True
2265709,12,12,12,1.0,True,True
2265764,2,2,2,1.0,True,True
2265866,2,2,2,1.0,True,True
2266294,7,7,7,1.0,True,True
2266327,7,7,7,1.0,True,True
2266398,4,4,4,1.0,True,True
2266664,4,4,4,1.0,True,True
2266668,7,7,7,1.0,True,True
2266669,7,7,7,1.0,True,True
2266989,2,2,2,1.0,True,True
2267204,3,3,3,1.0,True,True
2267220,2,2,2,1.0,True,True
2267226,12,12,12,1.0,True,True
2267303,7,7,7,1.0,True,True
2267575,3,3,3,1.0,True,True
2267620,2,2,2,1.0,True,True
2267731,2,2,2,1.0,True,True
2267942,4,4,4,1.0,True,True
2268051,8,8,8,1.0,True,True
2268112,2,2,2,1.0,True,True
2268207,3,3,3,1.0,True,True
2268233,2,2,2,1.0,True,True
2268545,11,11,11,1.0,True,True
2268720,2,2,2,1.0,True,True
2268739,2,2,2,1.0,True,True
2268900,2,2,2,1.0,True,True
2268971,2,2,2,1.0,True,True
2268996,2,2,2,1.0,True,True
2269095,2,2,2,1.0,True,True
2269167,2,2,2,1.0,True,True
2269170,2,2,2,1.0,True,True
2269384,3,3,3,1.0,True,True
2269573,2,2,2,1.0,True,True
2269836,2,2,2,1.0,True,True
2269865,2,2,2,1.0,True,True
2269898,2,2,2,1.0,True,True
2269903,4,4,4,1.0,True,True
2269907,2,2,2,1.0,True,True
2269944,3,3,3,1.0,True,True
2269960,2,2,2,1.0,True,True
2270010,3,3,3,1.0,True,True
2270011,2,2,2,1.0,True,True
2270077,2,2,2,1.0,True,True
2270145,8,8,8,1.0,True,True
2270154,3,3,3,1.0,True,True
2270246,9,9,9,1.0,True,True
2270340,2,2,2,1.0,True,True
2270444,7,7,7,1.0,True,True
2270446,3,3,3,1.0,True,True
2270566,2,2,2,1.0,True,True
2270586,2,2,2,1.0,True,True
2270591,3,3,3,1.0,True,True
2270624,4,4,4,1.0,True,True
2270898,6,6,6,1.0,True,True
2270913,2,2,2,1.0,True,True
2271049,2,2,2,1.0,True,True
2271087,4,4,4,1.0,True,True
2271103,2,2,2,1.0,True,True
2271104,2,2,2,1.0,True,True
2271147,8,8,8,1.0,True,True
2271259,3,3,3,1.0,True,True
2271696,2,2,2,1.0,True,True
2271736,2,2,2,1.0,True,True
2271792,2,2,2,1.0,True,True
2271799,2,2,2,1.0,True,True
2271912,2,2,2,1.0,True,True
2272182,3,3,3,1.0,True,True
2272240,2,2,2,1.0,True,True
2272396,3,3,3,1.0,True,True
2272397,2,2,2,1.0,True,True
2272752,5,5,5,1.0,True,True
2272775,13,13,13,1.0,True,True
2272986,2,2,2,1.0,True,True
2273009,2,2,2,1.0,True,True
2273023,2,2,2,1.0,True,True
2273066,3,3,3,1.0,True,True
2273070,2,2,2,1.0,True,True
2273497,2,2,2,1.0,True,True
2273524,5,5,5,1.0,True,True
2273549,2,2,2,1.0,True,True
2273910,2,2,2,1.0,True,True
2274215,7,7,7,1.0,True,True
2274256,2,2,2,1.0,True,True
2274276,4,4,4,1.0,True,True
2274287,11,11,11,1.0,True,True
2274490,2,2,2,1.0,True,True
2274552,6,6,6,1.0,True,True
2274818,7,7,7,1.0,True,True
2274842,2,2,2,1.0,True,True
2274930,2,2,2,1.0,True,True
2274933,5,5,5,1.0,True,True
2274971,3,3,3,1.0,True,True
2275003,4,4,4,1.0,True,True
2275035,2,2,2,1.0,True,True
2275106,2,2,2,1.0,True,True
2275194,2,2,2,1.0,True,True
2275221,6,6,6,1.0,True,True
2275414,7,7,7,1.0,True,True
2275636,4,4,4,1.0,True,True
2275933,2,2,2,1.0,True,True
2276132,3,3,3,1.0,True,True
2276143,2,2,2,1.0,True,True
2276156,2,2,2,1.0,True,True
2276175,3,3,3,1.0,True,True
2276220,2,2,2,1.0,True,True
2276352,2,2,2,1.0,True,True
2276617,3,3,3,1.0,True,True
2276743,2,2,2,1.0,True,True
2277001,2,2,2,1.0,True,True
2277040,6,6,6,1.0,True,True
2277051,8,8,8,1.0,True,True
2277142,4,4,4,1.0,True,True
2277212,2,2,2,1.0,True,True
2277239,4,4,4,1.0,True,True
2277254,2,2,2,1.0,True,True
2277561,2,2,2,1.0,True,True
2277615,6,6,6,1.0,True,True
2277644,3,3,3,1.0,True,True
2277862,2,2,2,1.0,True,True
2277965,4,4,4,1.0,True,True
2277971,3,3,3,1.0,True,True
2278002,6,6,6,1.0,True,True
2278058,4,4,4,1.0,True,True
2278073,2,2,2,1.0,True,True
2278105,4,4,4,1.0,True,True
2278157,3,3,3,1.0,True,True
2278163,4,4,4,1.0,True,True
2278244,2,2,2,1.0,True,True
2278393,2,2,2,1.0,True,True
2278585,2,2,2,1.0,True,True
2278597,3,3,3,1.0,True,True
2278627,2,2,2,1.0,True,True
2278712,4,4,4,1.0,True,True
2278728,2,2,2,1.0,True,True
2278846,2,2,2,1.0,True,True
2278951,3,3,3,1.0,True,True
2278957,11,11,11,1.0,True,True
2279020,3,3,3,1.0,True,True
2279071,4,4,4,1.0,True,True
