interval_label,original_cluster,chunk_cluster,weighted_row_share
2-6,18,0,0.004532476802284083
2-6,18,1,0.004139900071377587
2-6,18,2,0.000713775874375446
2-6,18,3,0.01302640970735189
2-6,18,4,0.1973947180585296
2-6,18,5,0.02519628836545324
2-6,18,6,0.0
2-6,18,7,0.0025695931477516054
2-6,18,8,0.0
2-6,18,9,0.007922912205567451
2-6,18,10,0.022876516773733046
2-6,18,11,0.0016059957173447535
2-6,18,12,0.001070663811563169
2-6,18,13,0.015738758029978584
2-6,18,14,0.020628122769450388
2-6,18,15,0.00588865096359743
2-6,18,16,0.06655960028551033
2-6,18,17,0.00481798715203426
2-6,18,18,0.6024625267665953
2-6,18,19,0.002855103497501784
2-6,19,0,0.01710362047440699
2-6,19,1,0.00873907615480649
2-6,19,2,0.0018726591760299626
2-6,19,3,0.011797752808988763
2-6,19,4,0.10805243445692883
2-6,19,5,0.05062421972534332
2-6,19,6,0.0012484394506866417
2-6,19,7,0.0054307116104868915
2-6,19,8,0.0
2-6,19,9,0.0028089887640449437
2-6,19,10,0.028901373283395756
2-6,19,11,0.006866416978776529
2-6,19,12,0.004369538077403245
2-6,19,13,0.0056179775280898875
2-6,19,14,0.0012484394506866417
2-6,19,15,0.011235955056179775
2-6,19,16,0.06092384519350811
2-6,19,17,0.004619225967540575
2-6,19,18,0.008551810237203495
2-6,19,19,0.6599875156054932
6-10,0,0,0.47767857142857145
6-10,0,1,0.01597683647102252
6-10,0,2,0.0009689922480620156
6-10,0,3,0.029831118493909195
6-10,0,4,0.14194582871908454
6-10,0,5,0.060342838685861946
6-10,0,6,0.019079918789221117
6-10,0,7,0.007832687338501293
6-10,0,8,0.0
6-10,0,9,0.004325858250276856
6-10,0,10,0.04771133259505353
6-10,0,11,0.005675526024363235
6-10,0,12,0.0
6-10,0,13,0.005191029900332226
6-10,0,14,0.0009689922480620156
6-10,0,15,0.005248708010335917
6-10,0,16,0.15071290143964566
6-10,0,17,0.007232834994462903
6-10,0,18,0.009032392026578073
6-10,0,19,0.010243632336655593
6-10,1,0,0.008928571428571428
6-10,1,1,0.3989285714285714
6-10,1,2,0.0
6-10,1,3,0.03583333333333333
6-10,1,4,0.3269642857142857
6-10,1,5,0.008551587301587301
6-10,1,6,0.00625
6-10,1,7,0.00125
6-10,1,8,0.00125
6-10,1,9,0.007678571428571428
6-10,1,10,0.06494047619047619
6-10,1,11,0.009325396825396825
6-10,1,12,0.025238095238095237
6-10,1,13,0.005277777777777778
6-10,1,14,0.0038888888888888883
6-10,1,15,0.03317460317460317
6-10,1,16,0.044404761904761905
6-10,1,17,0.005714285714285714
