basepk;speechtext;speakername;year
1567173;mr chairman wish call attent committe certain featur connect resolut first place said conserv england approv polici say larg bodi public opinion approv drastic chang use empir parliamentari associ set purpos consid matter involv uniti within empir forgotten empir want chang name turn someth believ turn panamerican organ organ matter kind sent suppos nonpolit place know polit forgotten good empir parliamentari institut within empir held meet saw happen right vincent massey oppos pan american admit conserv old countri support program r oppos follow reason shall take moment time committe member side hous oppos someth thought would lead new featur new program polici call bretton wood agreement monetari fund caus disun world anyth els know conserv side hous oppos agreement glad seen consequ process link intern bank result countri becom creditor rest world oppos featur summer read meet held orillia lake couchich talk empir fact countri repres empir present time pledg code burma place organ done agenc know harm empir want call someth strike word empir call high sound name commonwealth believ call commonwealth organ pleas repres australia said chang countri within empir commonwealth evid fact see evid uniti right hous common read propos uniti within empir find littl night read list ten thing appear debat order paper last session order paper session talk uniti say organ held meet near say believ time hous need work class peopl countri bother secondari matter attend primari matter one discuss secondari opinion larg organ lake success known unit nation date think would name lake chang lake failur russia know everyth goe know everyth tell know oversea telecommun act hous common told orillia organ go lead uniti within empir unit nation tore build worth million dollar ask code code fail see valu call code uniti wast public fund wait see next year regular sinkhol capit mainten control yesterday present estim control pass estim thing post mortem hold peopl countri worri becom parliamentari institut tremend popular monarchi appar visit peopl empir support king queen today see threat digniti parliament see declin hous common hand right privileg outsid organ propos wait see code issu make rule regul sort organ radio rest fail see valu propos ventur say day come prove said discuss bretton wood agreement intern monetari fund oppos expenditur;Thomas Langton Church;1949
1567174;mr chairman member found littl strang c c f member bill way assur member includ coast capilano c c f member object spend sever million dollar asset worth liber member member say moment ago minist assur buy lemon fact particular compani last year deficit net earn amount minist suggest loss entail activ compani word actual asset purchas show profit suggest;Wilbert Ross Thatcher;1949
1567175;said profit shown;Lionel Chevrier;1949
1567176;moos jaw gave balanc sheet compani telecommun act oper unit kingdom govern show profit made compani oper privat hand;John Ewen Sinclair;1949
1567177;understand mix cabl compani canadian marconi compani;Wilbert Ross Thatcher;1949
1567178;cabl compani talk;John Ewen Sinclair;1949
1567179;talk marconi compani;Wilbert Ross Thatcher;1949
1567180;let cabl compani;John Ewen Sinclair;1949
1567181;interest marconi compani;Wilbert Ross Thatcher;1949
1567182;cabl compani british govern dot;John Ewen Sinclair;1949
1567183;step minist depart take determin amount apprais valu independ apprais valu asset taken;John Lambert Gibson;1949
1567184;ye department offic go variou asset cabl wireless limit canadian marconi compani limit came conclus could purchas least amount ask resolut;Lionel Chevrier;1949
1567185;understood minist say extens improv inter commonwealth system resolut understand make provis acquir interest compani provis money may appropri parliament capit purpos corpor extens improv mind minist give idea much involv part;Howard Charles Green;1949
1567186;think meant paragraph resolut expropri asset compani may requir money would requir pay staff day day expens period month compani begin take revenu think amount requir paragraph purpos capit;Lionel Chevrier;1949
1567187;extens contempl moment;Howard Charles Green;1949
1567188;;Lionel Chevrier;1949
1567189;represent commonwealth telecommun board seem import strong represent board reason deal put cariboo right say cabl rate pacif high strong represent board much likelihood rate reduc represent made board canadian repres reduct rate;Howard Charles Green;1949
1567190;board begun oper agreement goe effect;Lionel Chevrier;1949
1567191;confer;Howard Charles Green;1949
1567192;intern telecommun confer agreement enter agreement stipul asset shall taken board establish goe stipul partner govern signifi intent abid term agreement pass necessari legisl shall go forc think date done presum partner govern appoint board;Lionel Chevrier;1949
1567193;decid represent board;Howard Charles Green;1949
1567194;;Lionel Chevrier;1949
1567195;total membership board;Howard Charles Green;1949
1567196;partner govern entitl appoint;Lionel Chevrier;1949
1567197;canadian govern make represent board pacif rate reduc;Howard Charles Green;1949
1567198;posit say whether tell friend object set board competit foreign telecommun servic danger commonwealth group might go exist therefor merg protect competit would expect tri boost rate move direct;Lionel Chevrier;1949
1567200;understand unit kingdom unit state wherebi countri would carri messag war year direct circuit set commonwealth countri unit state circuit open understand would close end war oper oper sens provid addit servic exist feel round would good thing close think continu intent chang posit implement resolut contrari hope continu;Lionel Chevrier;1949
1567201;understand circuit unit state commonwealth countri oper oper differ commonwealth compani unit state compani pictur;Howard Charles Green;1949
1567202;frank know pictur presum commonwealth telecommun board enter sort understand unit state compani;Lionel Chevrier;1949
1567203;board;Howard Charles Green;1949
1567204;resolut intend thing take asset oper extern telecommun servic variou commonwealth countri state moment ago consid fair answer sort question put resolut friend ask question ask bill resolut;Lionel Chevrier;1949
1567205;technic offic;Alphonse Fournier;1949
1567206;minist public work say technic men provid inform technic natur want refus answer question want take undu advantag posit;Lionel Chevrier;1949
1567207;tri take undu advantag minist earlier afternoon repli member st john believ minist state oversea telecommun act limit question could ask think minist draw fine line way seen done committe minist inform ask right tri get inform committe bill tell commonwealth board carri unit state compani intent new crown corpor retain manag personnel new staff;Howard Charles Green;1949
1567208;ask bill shall answer know divid line question ask resolut question ask bill intent take present staff cabl wireless limit canadian marconi compani limit along offic member corpor posit time say mani;Lionel Chevrier;1949
1567209;would minist put would exact effect resolut pass would curtail servic way;Wilbert Ross Thatcher;1949
1567210;resolut pass would deni respons undertaken govern interntaion confer reput live commit excel think actual result concern presum cabl wireless limit would continu oper unit kingdom compani intent confer intent reason mention moment ago commonwealth countri would oper servic;Lionel Chevrier;1949
1567211;minist say whether asset includ cabl lay cabl repair vessel hope consid detail involv mainten cabl respons would rest mainten;George Randolph Pearkes;1949
1567212;would think abl say would surpris think asset cabl wireless limit canadian marconi compani limit;Lionel Chevrier;1949
1567213;think occas press distinct ask stage ask later stage hous common oversea telecommun act fact number question ask indic feel part member clear result produc bill fact mani question direct toward technic aspect problem suggest desir measur sent special committe stand committe hous;George Alexander Drew;1949
1567214;bank commerc;Wilbert Ross Thatcher;1949
1567215;stand committe satisfactori goe committe hous opportun technic inform question cannot ask hous answer fair minist cannot expect fingertip system deputi come hous assist minist certain occas natur problem call examin committe done hous common unit kingdom similar bill deal subject agreement place bodi minist said monopoli creat import statement measur creat monopoli effect place certain canadian commun facil within intercommonwealth commun system differ situat would creat bill grant someth natur commonwealth monopoli leav certain interest outsid would necess subject overrid arrang activ certain detail relationship compani organ seem examin committe recogn public moodi public util offici statu nevertheless regard want inform matter kind edit moodi public util describ activ canadian marconi compani limit say oper world wide wireless telegraph servic associ canadian pacif telegraph offic throughout dominion act collect deliveri agent tran atlant wireless telephon servic other newfoundland variou place west indi committe would place member could best question would give inform extent commonwealth commun system would take wireless telephon servic extent would absorb telegraph activ canadian pacif telegraph outsid detail kind suggest statement read natur activ canadian marconi compani limit fact cabl wireless limit compani world wide ramif posit canadian properti within system someth might discuss committe ask question hous subject limit place thereon chamber mention radio broadcast station control canadian marconi compani limit becom whether part transact grant minist answer question bill committe seem hous deal matter member technic inform technic advic would brought committe might abl make recommend base upon full examin might committe might suggest certain properti includ suggest interest wider fuller intercommonwealth commun servic mention minist use word think born mind suggest secreci whatev first statement gave broad comprehens explan purpos bill minist use word strateg requir seem set committe member could secur evid wish regard strateg requir affect matter nation concern nation interest point view secreci adequaci inadequaci integr commun system built way relat strateg requir committe obtain inform better member hous casual method ask question direct particular expert particular technic aspect problem given time furthermor import busi manag acquir whole concept oper public busi crown compani new present scale took form necess war cours mani crown compani oper year last war conveni method oper certain type public activ semi public activ expand time crown compani carri year peac seem particular matter good time member hous common examin crown compani kind set crown compani oper interest public creat ilso method employ determin manag lure time continu oper safeguard handl crown corpor way disposit otherwis futur time matter opportun time make inquiri import aspect problem rais point purpos emphas believ good reason set committe refer matter stand committe would minist give assur bill present refer special committe stand committe done unit kingdom done necess ask question member technic inform call upon make decis bill;George Alexander Drew;1949
1567216;feel way matter consid whether bill sent committe believ friend agre say proper time decid bill hous would strike noth secret propos sinc jurisdict would welcom complet air whole matter committe whole hous committe would friend allow matter stand bill hous believ practic decid whether bill go special committe time;Lionel Chevrier;1949
1567217;want press point main purpos place minist member hous reason believ bill go committe thought proper oversea telecommun act govern would opportun consid matter would hope view natur transact difficulti deal subject kind gener discuss might decid set committe could refer;George Alexander Drew;1949
